Mallory 150,1000,0.0010,16.5,6.5 
Mallory 150,1000,0.0015,16.5,6.5 
Mallory 150,1000,0.0022,16.5,6.5 
Mallory 150,1000,0.0033,16.5,6.5 
Mallory 150,1000,0.0047,16.5,7.0 
Mallory 150,1000,0.0068,16.5,8.0 
Mallory 150,1000,0.0100,20.5,7.0 
Mallory 150,1000,0.0150,20.5,8.5 
Mallory 150,1000,0.0220,20.5,9.5 
Mallory 150,1000,0.0330,28  ,8.5 
Mallory 150,1000,0.0470,28  ,9.5 
Mallory 150,1000,0.0680,28  ,11.0
Mallory 150,1000,0.1000,28  ,13.0
Mallory 150,1000,0.1500,33  ,14.0
Mallory 150,1000,0.2200,33  ,17.5
Mallory 150,1000,0.3300,33  ,20.5
Mallory 150,1000,0.4700,33  ,24.0

Orange Drop 715P,100,0.0056,14.5,6.4
Orange Drop 715P,100,0.006,14.5,6.4
Orange Drop 715P,100,0.0068,14.5,6.6
Orange Drop 715P,100,0.0075,14.5,6.6
Orange Drop 715P,100,0.0082,14.5,6.9
Orange Drop 715P,100,0.009,14.5,6.6
Orange Drop 715P,100,0.01,14.5,6.6
Orange Drop 715P,100,0.012,14.5,7.1
Orange Drop 715P,100,0.015,14.5,7.4
Orange Drop 715P,100,0.018,14.5,7.9
Orange Drop 715P,100,0.022,14.5,8.4
Orange Drop 715P,100,0.025,14.5,8.9
Orange Drop 715P,100,0.027,14.5,8.9
Orange Drop 715P,100,0.033,14.5,9.7
Orange Drop 715P,100,0.039,17.8,8.6
Orange Drop 715P,100,0.047,17.8,9.1
Orange Drop 715P,100,0.05,17.8,9.4
Orange Drop 715P,100,0.056,17.8,9.7
Orange Drop 715P,100,0.062,17.8,10.2
Orange Drop 715P,100,0.068,17.8,10.4
Orange Drop 715P,100,0.075,22.9,9.1
Orange Drop 715P,100,0.082,22.9,9.4
Orange Drop 715P,100,0.09,22.9,9.7
Orange Drop 715P,100,0.1,22.9,10.2
Orange Drop 715P,100,0.12,22.9,10.9
Orange Drop 715P,100,0.15,22.9,11.7
Orange Drop 715P,100,0.18,22.9,12.7
Orange Drop 715P,100,0.2,22.9,13.2
Orange Drop 715P,100,0.22,22.9,13.7
Orange Drop 715P,100,0.25,31.8,11.9
Orange Drop 715P,100,0.27,31.8,12.2
Orange Drop 715P,100,0.3,31.8,12.7
Orange Drop 715P,100,0.33,31.8,13.2
Orange Drop 715P,200,0.01,17.8,6.4
Orange Drop 715P,200,0.012,17.8,6.6
Orange Drop 715P,200,0.015,17.8,7.1
Orange Drop 715P,200,0.018,17.8,7.4
Orange Drop 715P,200,0.022,17.8,7.9
Orange Drop 715P,200,0.027,17.8,8.4
Orange Drop 715P,200,0.033,17.8,9.1
Orange Drop 715P,200,0.039,22.9,8.1
Orange Drop 715P,200,0.047,22.9,8.6
Orange Drop 715P,200,0.056,22.9,9.4
Orange Drop 715P,200,0.068,22.9,9.9
Orange Drop 715P,200,0.082,31.8,9.1
Orange Drop 715P,200,0.1,31.8,9.7
Orange Drop 715P,200,0.12,31.8,10.4
Orange Drop 715P,200,0.15,31.8,11.2
Orange Drop 715P,200,0.18,31.8,11.9
Orange Drop 715P,200,0.22,31.8,13
Orange Drop 715P,200,0.27,41.9,12.4
Orange Drop 715P,200,0.33,41.9,13.5
Orange Drop 715P,200,0.39,41.9,14.2
Orange Drop 715P,200,0.47,41.9,15.2
Orange Drop 715P,400,0.001,17.8,8.9
Orange Drop 715P,400,0.0012,17.8,9.1
Orange Drop 715P,400,0.0015,17.8,8.1
Orange Drop 715P,400,0.0018,17.8,8.6
Orange Drop 715P,400,0.0022,17.8,8.4
Orange Drop 715P,400,0.0027,17.8,8.9
Orange Drop 715P,400,0.0033,17.8,8.1
Orange Drop 715P,400,0.0039,17.8,8.6
Orange Drop 715P,400,0.0047,17.8,8.6
Orange Drop 715P,400,0.0056,17.8,9.1
Orange Drop 715P,400,0.0068,17.8,7.4
Orange Drop 715P,400,0.0082,17.8,7.6
Orange Drop 715P,400,0.01,17.8,7.6
Orange Drop 715P,400,0.012,17.8,8.1
Orange Drop 715P,400,0.015,17.8,8.6
Orange Drop 715P,400,0.018,22.9,7.9
Orange Drop 715P,400,0.022,22.9,8.4
Orange Drop 715P,400,0.027,22.9,9.1
Orange Drop 715P,400,0.033,22.9,9.7
Orange Drop 715P,400,0.039,31.8,8.9
Orange Drop 715P,400,0.047,31.8,9.4
Orange Drop 715P,400,0.056,31.8,9.9
Orange Drop 715P,400,0.068,31.8,10.7
Orange Drop 715P,400,0.082,31.8,11.4
Orange Drop 715P,400,0.1,31.8,12.2
Orange Drop 715P,400,0.12,31.8,13.2
Orange Drop 715P,400,0.15,31.8,14.2
Orange Drop 715P,400,0.18,41.9,13.7
Orange Drop 715P,400,0.22,41.9,14.7
Orange Drop 715P,400,0.27,41.9,16
Orange Drop 715P,400,0.33,41.9,17.8
Orange Drop 715P,400,0.39,41.9,19.1
Orange Drop 715P,400,0.47,41.9,20.8
Orange Drop 715P,600,0.001,17.8,8.9
