OK,Failed,Total Time,Avg Time
0,12,15625,1302


File,Status,Message,Time
IIc+.diy,FAILED,Images do not match!,4974
deacy.diy,FAILED,Images do not match!,1567
jfet boost.diy,FAILED,,0
lp switch + pots.diy,FAILED,,0
rangemaster.diy,FAILED,Images do not match!,442
ruby.diy,FAILED,Images do not match!,629
slo2.diy,FAILED,Images do not match!,3731
splitter2.diy,FAILED,,0
standard strat.diy,FAILED,,0
tda1521a-2.diy,FAILED,Images do not match!,1659
timmy7.diy,FAILED,Images do not match!;Netlists do not match with switches;Netlists do not match without switches,2623
travelcaster3 (new format).diy,FAILED,,0
