OK,Failed,Total Time,Avg Time
18,0,98697,5483


File,Status,Message,Time
2555X BOARD LAYOUT RESaddTSRELAYnew.diy,OK,,17132
6Y6 Express 2.diy,OK,,5967
AllTube Schem.diy,OK,,5682
BrownfaceReverb Schematic 2.diy,OK,,3093
DR18Tagstrip.diy,OK,,6532
Deluxe_Micro_EF80_Layout.diy,OK,,3292
Ibanez Balance-Master Mod.diy,OK,,1723
LM386 Voltage Converter.diy,OK,,1678
LargeBandMaster.diy,OK,,29691
Lectrolab schematic.diy,OK,,1766
PCF DI Cable Diagram.diy,OK,,1826
ProTremoVerb Schematic.diy,OK,,2469
RAM board 2.diy,OK,,1865
RR2104_Master_Volume_6V6_Schematic.diy,OK,,1736
Radio Amp Noval.diy,OK,,2364
Silvertone 1484 v6f.diy,OK,,8259
Stack Pointer board.diy,OK,,1717
dist_layout.diy,OK,,1905
