OK,Failed,Total Time,Avg Time
686,0,1436318,2093


File,Status,Message,Time
100.diy,OK,,5177
101.diy,OK,,3667
102.diy,OK,,2687
103.diy,OK,,2683
104.diy,OK,,2975
105.diy,OK,,2326
106.diy,OK,,2316
107.diy,OK,,2307
108.diy,OK,,2097
109.diy,OK,,2510
110.diy,OK,,2528
111.diy,OK,,2460
112.diy,OK,,2055
113.diy,OK,,1963
114.diy,OK,,2593
115.diy,OK,,2372
116.diy,OK,,2216
117.diy,OK,,1796
118.diy,OK,,1968
119.diy,OK,,1861
120.diy,OK,,2232
121.diy,OK,,1868
122.diy,OK,,1810
123.diy,OK,,1771
124.diy,OK,,1713
125.diy,OK,,1880
126.diy,OK,,1781
127.diy,OK,,1687
128.diy,OK,,1717
129.diy,OK,,2079
12v_supply.diy,OK,,5221
130.diy,OK,,1822
131.diy,OK,,2089
132.diy,OK,,1889
133.diy,OK,,1853
134.diy,OK,,1999
135.diy,OK,,1753
136.diy,OK,,1757
137.diy,OK,,1984
138.diy,OK,,1899
139.diy,OK,,2582
140.diy,OK,,2280
141.diy,OK,,2184
142.diy,OK,,2250
143.diy,OK,,1975
144.diy,OK,,1844
145.diy,OK,,1916
146.diy,OK,,1676
147.diy,OK,,1610
148.diy,OK,,1970
149.diy,OK,,1799
150.diy,OK,,1794
151.diy,OK,,1909
152.diy,OK,,1764
153.diy,OK,,1646
154.diy,OK,,1819
155.diy,OK,,1872
156.diy,OK,,1662
157.diy,OK,,1776
158.diy,OK,,1893
159.diy,OK,,1918
160.diy,OK,,2481
161.diy,OK,,1997
162.diy,OK,,1982
163.diy,OK,,1850
164.diy,OK,,1903
165.diy,OK,,1995
166.diy,OK,,1951
167.diy,OK,,1746
168.diy,OK,,1829
169.diy,OK,,1813
170.diy,OK,,1812
171.diy,OK,,1931
172.diy,OK,,1961
173.diy,OK,,1856
174.diy,OK,,1879
175.diy,OK,,1757
176.diy,OK,,1681
177.diy,OK,,1805
178.diy,OK,,1708
179.diy,OK,,1716
180.diy,OK,,1944
181.diy,OK,,1808
182.diy,OK,,1845
183.diy,OK,,1862
184.diy,OK,,1924
185.diy,OK,,2041
186.diy,OK,,1699
187.diy,OK,,1751
188.diy,OK,,1768
189.diy,OK,,1705
190.diy,OK,,1740
191.diy,OK,,1770
192.diy,OK,,343
193.diy,OK,,104
194.diy,OK,,213
195.diy,OK,,85
196.diy,OK,,654
197.diy,OK,,318
1976_distortion+_pcb.diy,OK,,3558
1976_distortion+_perf.diy,OK,,2732
1977_od_250.diy,OK,,2798
198.diy,OK,,357
199.diy,OK,,656
200.diy,OK,,165
201.diy,OK,,4521
202.diy,OK,,982
203.diy,OK,,281
204.diy,OK,,966
205.diy,OK,,919
